rowid,pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbper,pl_orbsmax,pl_insol
5688,TOI-530 b,9.30345398,127.1313628,565.0,6.387597,0.052,14.259
5689,TOI-5300 b,9.86390302,190.6970442,1043.0,2.262196,0.0295,198.0
5690,TOI-5301 b,13.09208946,1182.32167404,1648.0,5.858858,0.073,429.794
5691,TOI-5319 b,2.83,8.4,695.0,4.07853,0.0506,38.7885
5692,TOI-532 b,5.82,61.5,867.0,2.3266508,0.0296,94.1
5693,TOI-5322 b,16.6117094,184.02264765,1350.0,5.4233207,0.0604,554.0
5694,TOI-5340 b,15.07607904,270.15414595,1566.0,4.9394392,0.0628,1004.0
5695,TOI-5344 b,10.60369574,130.94530368,689.0,3.792622,0.04041,38.0
5696,TOI-5349 b,10.2,127.4,719.0,3.317921,0.0369,44.5
5697,TOI-5350 b,12.41955062,2094.48920213,1195.0,7.581367,0.0796,321.879
5698,TOI-5386 A b,14.70618268,155.10026262,1488.0,3.62156552,0.04856,817.0
5699,TOI-5388.01,0.99,2.2,488.0,2.5946748,0.024335855,3.3023
5700,TOI-5398 b,10.3,58.7,947.0,10.590547,0.098,118.413
5701,TOI-5398 c,3.52,11.8,1242.0,4.77271,0.057,370.603
5702,TOI-540 b,0.903,0.674,611.0,1.2391491,0.01223,23.4
5703,TOI-5422 b,9.10169233,8899.195396,1369.0,5.377219,0.0619,580.0
5704,TOI-544 b,2.018,2.89,999.0,1.548352,0.0225,240.195
5705,TOI-544 c,4.92,21.5,,50.089,0.22809260797541261,
5706,TOI-5489 b,1.4,2.54,624.0,3.15222,0.03125686972250256,25.1137
5707,TOI-5489 c,1.28,2.18,536.0,4.92126,0.0420647852439766,13.8663
5708,TOI-5542 b,11.30986153,419.53349724,441.0,75.12375,0.332,9.6
5709,TOI-5573 b,9.75,112.0,528.0,8.79758977,0.0712,12.92
5710,TOI-558 b,12.17295304,1147.36054927,1061.0,14.574071,0.1291,248.8554
5711,TOI-559 b,12.22899794,1910.14872607,1180.0,6.9839095,0.0723,404.915
5712,TOI-5592 b,17.14974047,285.72773789,1789.0,2.6085846,0.03935,1712.0
5713,TOI-561 b,1.397,2.02,2319.0,0.4465697,0.01064,4709.0
5714,TOI-561 c,2.865,5.93,802.0,10.778838,0.0889,67.5
5715,TOI-561 d,2.615,13.33,600.0,25.71268,0.1587,21.2
5716,TOI-561 e,2.517,12.4,416.0,77.144,0.33,4.89
5717,TOI-5616 b,10.78,624.0,939.0,2.002849,0.0272,137.0
5718,TOI-5634 A b,10.42,588.0,837.0,2.2035373,0.0272,77.0
5719,TOI-564 b,11.43318,464.98529,1714.0,1.651144,0.02734,1423.0
5720,TOI-5678 b,4.91,20.0,513.0,47.73022,0.249,3.8369
5721,TOI-5688 A b,10.3,124.0,742.0,2.94815527,0.03379,50.3
5722,TOI-5704 b,3.2274,10.5,949.07,3.771116,0.04269339891792788,125.0643
5723,TOI-5713 b,1.77,3.78,347.2,10.441989,0.06008,2.2554
5724,TOI-5716 b,0.96,0.84,400.0,6.7663,0.04024932024640695,3.4093
5725,TOI-5720 b,1.09,4.3,708.0,1.4344555,0.018288,41.7
5726,TOI-5726.01,2.554,7.05,1093.03,5.491125215,0.062186,338.95
5727,TOI-5728 b,1.31,2.27,382.0,11.49761,0.0709216883865716,3.512
5728,TOI-5734 b,2.1,9.1,688.0,6.1841876,0.05921,56.3778
5729,TOI-5736 b,1.56,3.05,1311.0,0.64899,0.012163450875310932,493.4827
5730,TOI-5786 b,8.54,73.0,1040.0,12.779107,0.114,374.462
5731,TOI-5788 b,1.528,3.72,910.0,6.340758,0.064,175.1
5732,TOI-5788 c,2.272,6.4,667.0,16.213362,0.1197,49.8
5733,TOI-5789 b,1.26,2.12,1201.0,2.76369,0.03608,
5734,TOI-5789 c,2.86,5.0,718.0,12.927748,0.1009,8.7194
5735,TOI-5789 d,1.91,4.29,545.0,29.65,0.1756,
5736,TOI-5789 e,3.43,11.61,424.0,62.98,0.2901,
5737,TOI-5795 b,5.62,23.66,1136.78,6.1406325,0.064,240.6761
5738,TOI-5799 b,1.733,3.65,505.0,4.164507,0.0348,11.91
5739,TOI-5799 c,1.76,3.75,337.0,14.010449,0.0782,
5740,TOI-5800 b,2.46,9.5,1108.0,2.6278838,0.0344,274.163
5741,TOI-5803 b,3.2732,10.7,678.87,5.38305,0.0573850208312643,73.722
5742,TOI-5817 b,3.08,10.3,950.0,15.61031,0.1223,126.8632
5743,TOI-5882 b,11.46678726,6995.40323807,1515.0,7.148972,0.0804,4792.5
5744,TOI-5916 b,11.35469745,226.61165419,683.0,2.367128,0.0262,51.7
5745,TOI-5938 b,3.82,14.0,1077.0,2.260424,0.0308,249.273
5746,TOI-6000 b,0.94,0.779,1120.0,0.448959,0.008237805737669366,258.7482
5747,TOI-6002 b,1.65,3.36,321.4,10.904821,0.05722,1.6823
5748,TOI-6008 b,1.03,4.0,707.0,0.8574347,0.010777,41.5
5749,TOI-6016 b,13.67495645,371.85923619,1890.0,4.023687,0.055,940.0
5750,TOI-6029 b,14.39233122,519.64944544,1484.0,5.7987,0.07307193303007266,806.794
5751,TOI-6034 b,11.92,254.0,714.0,2.576184,0.02949,43.0
5752,TOI-6038 A b,6.41,78.5,1439.0,5.8267311,0.069,716.0
5753,TOI-6041 b,4.55,28.9,605.6,26.04945,0.1651,22.4
5754,TOI-6041 c,10.5,77.9,403.5,88.0,0.3721,4.42
5755,TOI-6054.01,2.64,12.5,1360.0,7.501428,0.0763,570.0
5756,TOI-6054.02,2.82,9.3,1143.0,12.563636,0.1079,285.0
5757,TOI-6086 b,1.18,1.76,634.0,1.3888725,0.01541,26.8
5758,TOI-6109 b,4.8704,21.1,700.0,5.690476,0.0599,39.9451
5759,TOI-6109 c,4.8326,20.8,786.0,8.538878,0.0786,63.3913
5760,TOI-6130 b,14.3474953,333.71982735,1750.0,2.392679,0.036,1150.0
5761,TOI-615 b,18.97680433,138.25535705,1666.0,4.6615983,0.0678,1286.0
5762,TOI-620 b,3.76,13.6,603.6,5.0988179,0.04825,20.8
5763,TOI-622 b,9.2362001,96.30200732,1388.0,6.402513,0.0708,602.0
5764,TOI-6223 b,5.07,22.6,714.0,3.855219,0.04018,41.8646
5765,TOI-6255 b,1.079,1.44,1256.46,0.23818244,0.005314608103304909,588.9944
5766,TOI-628 b,11.88154,2011.8639,1586.0,3.4095675,0.0486,1052.9
5767,TOI-6303 b,11.59,2493.0,541.0,9.485236,0.0761,14.28
5768,TOI-6324 b,1.059,1.17,1216.0,0.279221,0.005397044459498999,284.211
5769,TOI-6330 b,10.89,3179.0,495.0,6.8500246,0.05763,9.97
5770,TOI-6383 A b,11.29,331.0,745.0,1.79058695,0.02292,51.3
5771,TOI-640 b,19.2794468,181.16219199,1816.0,5.003777,0.06608,1150.12
5772,TOI-6420 b,11.93756445,2606.1929374,1213.0,6.961508,0.0753,106.619
5773,TOI-6448 b,8.47398941,54.0,745.0,14.844261,0.131,28.1152
5774,TOI-6478 b,4.6,19.2,204.4,34.005019,0.1136,0.0003
5775,TOI-654.01,2.378,8.71,794.0,1.527561,0.01944,65.0
5776,TOI-6628 b,10.98480109,235.19302118,833.0,18.18424,0.134,20.0861
5777,TOI-663 b,2.27,4.45,674.0,2.598902,0.0295,49.1
5778,TOI-663 c,2.26,3.65,553.0,4.6955507,0.0437,22.3
5779,TOI-663 d,1.92,5.2,482.0,7.1027268,0.0576,12.9
5780,TOI-6651 b,5.09,61.0,1493.0,5.056973,0.0633,817.0
5781,TOI-669 b,2.58606487,10.0,1124.85,3.945152,0.048,388.2
5782,TOI-6692 b,11.67975789,197.05361234,467.0,131.125,0.512,182.3533
5783,TOI-6695 b,9.52763359,66.74396547,599.0,80.389,0.402,85.9385
5784,TOI-6695 c,13.6,460.85119015,415.0,242.4,0.838,
5785,TOI-6716 b,0.982,0.911,369.0,4.7185898,0.0319,4.4
5786,TOI-672 b,5.2604,24.1,676.15,3.633575,0.037664630562486714,33.4742
5787,TOI-674 b,5.25,23.6,635.0,1.977143,0.025,38.4
5788,TOI-677 b,13.11450742,392.20025424,1252.0,11.2365985,0.1041,37.6345
5789,TOI-682.01,3.74186,13.5,1090.0,6.8392388,0.06679613556129141,234.46
5790,TOI-6894 b,9.5836785,53.39517238,417.9,3.37077196,0.02604,5.54
5791,TOI-700 b,0.914,0.704,417.0,9.977219,0.0677,4.98
5792,TOI-700 c,2.6,7.27,356.0,16.051137,0.0929,2.64
5793,TOI-700 d,1.073,1.25,268.8,37.42396,0.1633,0.85
5794,TOI-700 e,0.953,0.818,272.9,27.80978,0.134,1.27
5795,TOI-7009 b,3.71,13.3,872.0,2.3206612,0.0287,42.4124
5796,TOI-7041 b,11.43316031,114.41822652,882.37,9.691,0.09098717306218862,143.259
5797,TOI-712 b,2.049,4.85,650.0,9.531361,0.07928,22.6
5798,TOI-712 c,2.701,7.76,369.9,51.69906,0.2447,3.08
5799,TOI-712 d,2.474,6.68,313.6,84.8396,0.3405,1.6
5800,TOI-7149 b,13.2,224.0,593.0,2.65206166,0.02603,20.6
5801,TOI-715 b,1.55,3.02,234.0,19.288004,0.083,0.67
5802,TOI-7166 b,2.01,4.7,249.0,12.92063621,0.06191,1.07
5803,TOI-733 b,1.992,5.72,1055.8,4.884765,0.0618,207.1
5804,TOI-7384 b,3.56,12.4,378.0,6.2340258,0.0439,4.9
5805,TOI-7510 b,7.31,18.1,878.0,11.530869,0.1019,1678.5119
5806,TOI-7510 c,10.81,131.0,702.0,22.5687423,0.1595,92.4087
5807,TOI-7510 d,10.52,190.0,542.4,48.864468,0.2672,20.6036
5808,TOI-756 b,2.81,9.83,934.0,1.2392495,0.018,127.0
5809,TOI-756 c,13.0,1287.20504835,194.0,149.4,0.439,0.24
5810,TOI-757 b,2.5,10.5,641.0,17.46819,0.122,24.3644
5811,TOI-762 A b,8.33948164,79.77493016,555.4,3.4716826,0.03418,17.0012
5812,TOI-763 b,2.28,9.79,1038.0,5.6057,0.06,182.935
5813,TOI-763 c,2.63,9.32,800.0,12.2737,0.1011,64.3196
5814,TOI-771 b,1.36,2.47,543.0,2.3260155,0.0208,14.0
5815,TOI-771 c,1.5,2.87,365.0,7.61,0.046,3.0
5816,TOI-776 b,1.798,5.0,520.0,8.24662,0.0653,11.5
5817,TOI-776 c,2.047,6.9,420.0,15.665323,0.1001,4.9
5818,TOI-778 b,15.4,878.0,1561.0,4.633611,0.06,734.672
5819,TOI-782 b,2.734,19.1,435.0,8.0240015,0.0578,5.91
5820,TOI-784 b,1.93,9.67,1256.0,2.7970365,0.038,413.894
5821,TOI-813 b,6.71,36.4,610.0,83.8911,0.423,23.1
5822,TOI-815 b,2.94,7.6,686.0,11.197259,0.0903,36.9
5823,TOI-815 c,2.62,23.5,469.0,34.976145,0.193,8.03
5824,TOI-824 b,2.926,18.467,1253.0,1.392978,0.02177,412.0
5825,TOI-833 b,1.27,2.15,1118.0,1.0418777,0.0171,270.0682
5826,TOI-836 b,1.704,4.53,871.0,3.81673,0.0422,78.838
5827,TOI-836.01,2.587,9.6,665.0,8.59545,0.075,26.707
5828,TOI-837 b,9.16894621,120.45696625,995.3,8.3249113,0.0888,164.0
5829,TOI-849 b,3.64,41.8,1932.0,0.765548,0.0155,2314.06
5830,TOI-858 B b,14.06727078,349.6112477,1529.0,3.2797178,0.04435,908.9
5831,TOI-871 b,1.664,3.41,621.0,14.362565,0.1054,24.78
5832,TOI-880 c,4.95,21.7,805.0,6.3872703,0.0635,73.9967
5833,TOI-880.02,2.19,5.43,1085.0,2.57571,0.0349,301.8661
5834,TOI-892 b,11.99363,301.9385,1397.0,10.62656,0.092,571.007
5835,TOI-904 b,2.426,6.46,429.43,10.8772,0.056,8.3169
